State,District
Andhra Pradesh,Srikakulam
Andhra Pradesh,Visakhapatnam
Andhra Pradesh,East Godavari
Andhra Pradesh,West Godavari
Andhra Pradesh,Krishna
Andhra Pradesh,Guntur
Andhra Pradesh,S.P.S. Nellore
Andhra Pradesh,Kurnool
Andhra Pradesh,Ananthapur
Andhra Pradesh,Kadapa YSR
Andhra Pradesh,Chittoor
Assam,Cachar
Assam,Darrang
Assam,Dibrugarh
Assam,Goalpara
Assam,Kamrup
Assam,Karbi Anglong
Assam,Lakhimpur
Assam,Nagaon
Bihar,Champaran
Bihar,Muzaffarpur
Bihar,Darbhanga
Bihar,Saharsa
Bihar,Saran
Bihar,Patna
Bihar,Mungair
Bihar,Bhagalpur
Bihar,Shahabad (now part of Bhojpur district)
Bihar,Gaya
Chhattisgarh,Durg
Chhattisgarh,Bastar
Chhattisgarh,Raipur
Chhattisgarh,Bilaspur
Chhattisgarh,Raigarh
Chhattisgarh,Surguja
Gujarat,Ahmedabad
Gujarat,Amreli
Gujarat,Banaskantha
Gujarat,Bharuch
Gujarat,Vadodara / Baroda
Gujarat,Bhavnagar
Gujarat,Valsad
Gujarat,Dangs
Gujarat,Jamnagar
Gujarat,Junagadh
Gujarat,Kheda
Gujarat,Rajkot
Gujarat,Surat
Gujarat,Surendranagar
Haryana,Hissar
Haryana,Gurgaon
Haryana,Jind
Haryana,Mahendragarh / Narnaul
Haryana,Ambala
Haryana,Karnal
Haryana,Rohtak
Himachal Pradesh,Bilashpur
Himachal Pradesh,Chamba
Himachal Pradesh,Kangra
Himachal Pradesh,Kinnaur
Himachal Pradesh,Kullu
Himachal Pradesh,Lahul & Spiti
Himachal Pradesh,Solan
Himachal Pradesh,Mandi
Himachal Pradesh,Shimla
Himachal Pradesh,Sirmaur
Jharkhand,Santhal Paragana / Dumka
Jharkhand,Hazaribagh
Jharkhand,Dhanbad
Jharkhand,Palamau
Jharkhand,Ranchi
Jharkhand,Singhbhum
Karnataka,Bangalore
Karnataka,Kolar
Karnataka,Tumkur
Karnataka,Mysore
Karnataka,Mandya
Karnataka,Hassan
Karnataka,Chitradurga
Karnataka,Bellary
Karnataka,Dharwad
Karnataka,Belgaum
Karnataka,Bijapur / Vijayapura
Karnataka,Bidar
Karnataka,Raichur
Karnataka,Gulbarga / Kalaburagi
Karnataka,Dakshina Kannada
Karnataka,Uttara Kannada
Karnataka,Kodagu / Coorg
Kerala,Alappuzha
Kerala,Kannur
Kerala,Kottayam
Kerala,Kozhikode
Kerala,Malappuram
Kerala,Palakkad
Kerala,Kollam
Kerala,Thrissur
Kerala,Thiruvananthapuram
Madhya Pradesh,Jabalpur
Madhya Pradesh,Balaghat
Madhya Pradesh,Chhindwara
Madhya Pradesh,Narsinghpur
Madhya Pradesh,Seoni / Shivani
Madhya Pradesh,Mandla
Madhya Pradesh,Sagar
Madhya Pradesh,Damoh
Madhya Pradesh,Tikamgarh
Madhya Pradesh,Chhatarpur
Madhya Pradesh,Panna
Madhya Pradesh,Rewa
Madhya Pradesh,Sidhi
Madhya Pradesh,Satna
Madhya Pradesh,Shahdol
Madhya Pradesh,Gwalior
Madhya Pradesh,Shivpuri
Madhya Pradesh,Guna
Madhya Pradesh,Datia
Madhya Pradesh,Morena
Madhya Pradesh,Bhind
Madhya Pradesh,Indore
Madhya Pradesh,Ratlam
Madhya Pradesh,Ujjain
Madhya Pradesh,Mandsaur
Madhya Pradesh,Dewas
Madhya Pradesh,Dhar
Madhya Pradesh,Jhabua
Madhya Pradesh,Sehore
Madhya Pradesh,Raisen
Madhya Pradesh,Vidisha
Madhya Pradesh,Betul
Madhya Pradesh,Rajgarh
Madhya Pradesh,Shajapur
Madhya Pradesh,Hoshangabad
Maharashtra,Thane
Maharashtra,Ratnagiri
Maharashtra,Dhule
Maharashtra,Jalgaon
Maharashtra,Ahmednagar
Maharashtra,Pune
Maharashtra,Satara
Maharashtra,Sangli
Maharashtra,Solapur
Maharashtra,Kolhapur
Maharashtra,Aurangabad
Maharashtra,Parbhani
Maharashtra,Beed
Maharashtra,Nanded
Maharashtra,Osmanabad
Maharashtra,Buldhana
Maharashtra,Akola
Maharashtra,Amarawati
Maharashtra,Wardha
Maharashtra,Nagpur
Maharashtra,Bhandara
Maharashtra,Chandrapur
Punjab,Gurdaspur
Punjab,Amritsar
Punjab,Kapurthala
Punjab,Jalandhar
Punjab,Hoshiarpur
Punjab,Roopnagar / Ropar
Punjab,Ludhiana
Punjab,Ferozpur
Punjab,Bhatinda
Punjab,Sangrur
Punjab,Patiala
Rajasthan,Ajmer
Rajasthan,Alwar
Rajasthan,Banswara
Rajasthan,Barmer
Rajasthan,Bharatpur
Rajasthan,Bhilwara
Rajasthan,Bikaner
Rajasthan,Bundi
Rajasthan,Chittorgarh
Rajasthan,Churu
Rajasthan,Dungarpur
Rajasthan,Ganganagar
Rajasthan,Jaipur
Rajasthan,Jaisalmer
Rajasthan,Jalore
Rajasthan,Jhalawar
Rajasthan,Jodhpur
Rajasthan,Kota
Rajasthan,Nagaur
Rajasthan,Pali
Rajasthan,Swami Madhopur
Rajasthan,Sikar
Rajasthan,Sirohi
Rajasthan,Tonk
Rajasthan,Udaipur
Tamil Nadu,South Arcot / Cuddalore
Tamil Nadu,North Arcot / Vellore
Tamil Nadu,Salem
Tamil Nadu,Coimbatore
Tamil Nadu,Tiruchirapalli / Trichy
Tamil Nadu,Thanjavur
Tamil Nadu,Madurai
Tamil Nadu,Ramananthapuram
Tamil Nadu,Thirunelveli
Tamil Nadu,The Nilgiris
Tamil Nadu,Kanyakumari
Telangana,Hyderabad
Telangana,Nizamabad
Telangana,Medak
Telangana,Mahabubnagar
Telangana,Nalgonda
Telangana,Warangal
Telangana,Khammam
Telangana,Karimnagar
Telangana,Adilabad
Uttar Pradesh,Saharanpur
Uttar Pradesh,Muzaffarnagar
Uttar Pradesh,Meerut
Uttar Pradesh,Buland Shahar
Uttar Pradesh,Aligarh
Uttar Pradesh,Mathura
Uttar Pradesh,Agra
Uttar Pradesh,Mainpuri
Uttar Pradesh,Etah
Uttar Pradesh,Bareilly
Uttar Pradesh,Budaun
Uttar Pradesh,Moradabad
Uttar Pradesh,Shahjahanpur
Uttar Pradesh,Pilibhit
Uttar Pradesh,Rampur
Uttar Pradesh,Bijnor
Uttar Pradesh,Farrukhabad
Uttar Pradesh,Etawah
Uttar Pradesh,Kanpur
Uttar Pradesh,Fatehpur
Uttar Pradesh,Allahabad
Uttar Pradesh,Jhansi
Uttar Pradesh,Jalaun
Uttar Pradesh,Hamirpur
Uttar Pradesh,Banda
Uttar Pradesh,Varanasi
Uttar Pradesh,Jaunpur
Uttar Pradesh,Ghazipur
Uttar Pradesh,Ballia
Uttar Pradesh,Gorakhpur
Uttar Pradesh,Deoria
Uttar Pradesh,Basti
Uttar Pradesh,Azamgarh
Uttar Pradesh,Lucknow
Uttar Pradesh,Unnao
Uttar Pradesh,Rae-Bareily
Uttar Pradesh,Sitapur
Uttar Pradesh,Hardoi
Uttar Pradesh,Kheri
Uttar Pradesh,Faizabad
Uttar Pradesh,Gonda
Uttar Pradesh,Bahraich
Uttar Pradesh,Sultanpur
Uttar Pradesh,Pratapgarh
Uttar Pradesh,Barabanki
Uttarakhand,Nainital
Uttarakhand,Almorah
Uttarakhand,Pithorgarh
Uttarakhand,Chamoli
Uttarakhand,Uttar Kashi
Uttarakhand,Tehri Garhwal
Uttarakhand,Garhwal
Uttarakhand,Dehradun
